LSP,L Q D,L Q D_3,L Q_3 D,L Q_3 D_3,L_3 Q D,L_3 Q D_3,L_3 Q_3 D,L_3 Q_3 D_3
B,"{'jjE', 'jjl'}","{'bjE', 'bjl'}","{'bjE', 'tjl'}","{'tbl', 'bbE'}","{'jjE', 'jjT'}","{'bjE', 'bjT'}","{'bjE', 'tjT'}","{'tbT', 'bbE'}"
W^+,"{'tbjjl', 'jjjjE', 'jjjjl', 'vvjjl', 'jjTlE', 'jjTE', 'jjE', 'vvjjE', 'tbjjE', 'jjl', 'jjlE', 'jjllE'}","{'vtjl', 'bjE', 'vbjE', 'vbjl', 'bjl', 'vtjE'}","{'bjlE', 'tjTlE', 'tbbjE', 'vvtjl', 'vvbjE', 'tjE', 'tjjjl', 'ttbjl', 'bjTE', 'bjjjE', 'tjllE', 'bjl'}","{'vtbl', 'tbE', 'bbl', 'vttl', 'vbbE', 'vtbE'}","{'jjjjE', 'tbjjT', 'jjTTE', 'jjT', 'vvjjT', 'jjTlE', 'jjTE', 'jjE', 'jjjjT', 'vvjjE', 'tbjjE', 'jjlE'}","{'vtjT', 'bjE', 'vbjE', 'bjT', 'vbjT', 'vtjE'}","{'tjTTE', 'bjlE', 'tjTlE', 'vvtjT', 'tbbjE', 'vvbjE', 'ttbjT', 'tjE', 'tjjjT', 'bjT', 'bjTE', 'bjjjE'}","{'vtbT', 'bbT', 'vttT', 'tbE', 'vbbE', 'vtbE'}"
W^0,"{'jjTTl', 'ttjjE', 'jjjjE', 'ttjjl', 'jjjjl', 'jjTTE', 'vvjjl', 'bbjjE', 'bbjjl', 'jjE', 'jjlll', 'vvjjE', 'jjl', 'jjlE', 'jjllE'}","{'vtjl', 'bjE', 'vbjE', 'vbjl', 'bjl', 'vtjE'}","{'bbbjE', 'tbbjl', 'tjTTl', 'tjlll', 'vvtjl', 'bjE', 'vvbjE', 'tttjl', 'bjjjE', 'bjllE', 'ttbjE', 'tjl', 'tjlE', 'tjjjl', 'bjTTE'}","{'vtbl', 'tbl', 'bbE', 'vttl', 'vbbE', 'vtbE'}","{'jjTll', 'ttjjE', 'jjllE', 'jjjjE', 'jjTTE', 'jjTTT', 'jjT', 'vvjjT', 'jjTE', 'jjjjT', 'bbjjT', 'jjE', 'vvjjE', 'bbjjE', 'ttjjT'}","{'vtjT', 'bjE', 'vbjE', 'bjT', 'vbjT', 'vtjE'}","{'tjTE', 'bbbjE', 'vvtjT', 'bjE', 'vvbjE', 'tttjT', 'tjjjT', 'bjjjE', 'bjllE', 'ttbjE', 'tjT', 'tjTll', 'tjTTT', 'bjTTE', 'tbbjT'}","{'vtbT', 'tbT', 'vttT', 'bbE', 'vbbE', 'vtbE'}"
G,"{'tbjjl', 'ttjjE', 'jjjjE', 'jjjjl', 'ttjjl', 'bbjjl', 'jjE', 'tbjjE', 'jjl', 'bbjjE'}","{'bbbjE', 'tbbjl', 'tbbjE', 'bjjjl', 'bjE', 'ttbjl', 'ttbjE', 'bbbjl', 'bjjjE', 'bjl'}","{'bbbjE', 'tbbjl', 'bjjjl', 'bjE', 'tjjjE', 'tttjl', 'ttbjE', 'tjl', 'bjjjE', 'tjjjl'}","{'ttbbE', 'tbjjl', 'bbjjl', 'tbl', 'tbjjE', 'tbbbl', 'bbbbE', 'tttbl', 'bbE', 'bbjjE'}","{'ttjjE', 'jjjjE', 'tbjjT', 'jjT', 'bbjjT', 'jjjjT', 'jjE', 'tbjjE', 'bbjjE', 'ttjjT'}","{'bbbjE', 'bbbjT', 'tbbjE', 'tbbjT', 'bjE', 'ttbjT', 'bjT', 'ttbjE', 'bjjjE', 'bjjjT'}","{'bbbjE', 'bjE', 'tttjT', 'tjjjE', 'tjjjT', 'ttbjE', 'tjT', 'bjjjE', 'bjjjT', 'tbbjT'}","{'ttbbE', 'tttbT', 'tbjjT', 'tbT', 'bbjjT', 'tbbbT', 'tbjjE', 'bbbbE', 'bbE', 'bbjjE'}"
H^+,"{'vjjl', 'vjjE'}","{'vbjE', 'tjE', 'tjl', 'vbjl'}","{'vtjl', 'vbjE', 'tjE', 'vbjl', 'bjl', 'vtjE'}","{'vbbl', 'ttl', 'tbE', 'bbl', 'vtbl', 'vbbE', 'vtbE'}","{'vjjT', 'vjjE'}","{'vbjT', 'vbjE', 'tjE', 'tjT'}","{'vtjT', 'vbjE', 'tjE', 'bjT', 'vbjT', 'vtjE'}","{'vtbT', 'ttT', 'bbT', 'tbE', 'vbbE', 'vbbT', 'vtbE'}"
H^0,"{'vjjl', 'vjjE'}","{'bjE', 'vbjE', 'vbjl', 'bjl'}","{'vtjl', 'bjE', 'vbjE', 'tjl', 'vbjl', 'vtjE'}","{'vbbl', 'tbl', 'bbE', 'vtbl', 'vbbE', 'vtbE'}","{'vjjT', 'vjjE'}","{'vbjT', 'vbjE', 'bjE', 'bjT'}","{'vtjT', 'bjE', 'vbjE', 'vbjT', 'tjT', 'vtjE'}","{'vtbT', 'tbT', 'vbbE', 'bbE', 'vbbT', 'vtbE'}"
q,"{'jl', 'jjjE', 'jE', 'jjjl'}","{'bE', 'bl', 'bjjl', 'bjjE'}","{'bjjE', 'bjjl', 'tjjl', 'tjjE'}","{'tbjE', 'bbjE', 'tbjl', 'bbjl'}","{'jE', 'jjjT', 'jjjE', 'jT'}","{'bE', 'bT', 'bjjT', 'bjjE'}","{'bjjE', 'tjjT', 'bjjT', 'tjjE'}","{'bbjT', 'tbjE', 'tbjT', 'bbjE'}"
d,"{'jl', 'jjjE', 'jE', 'jjjl'}","{'bjjl', 'bjjE'}","{'bE', 'tl', 'tjjl', 'bjjE'}","{'tbjl', 'bbjE'}","{'jE', 'jjjT', 'jjjE', 'jT'}","{'bjjT', 'bjjE'}","{'bE', 'tT', 'tjjT', 'bjjE'}","{'tbjT', 'bbjE'}"
u,"{'jjjE', 'jjjl'}","{'bjjl', 'bjjE'}","{'tjjl', 'bjjE'}","{'tbjl', 'bbjE'}","{'jjjT', 'jjjE'}","{'bjjT', 'bjjE'}","{'tjjT', 'bjjE'}","{'tbjT', 'bbjE'}"
l,"{'jjE', 'jj', 'jjlE', 'jjll'}","{'bjll', 'bjlE', 'bj', 'bjE'}","{'tj', 'tjll', 'bjlE', 'tjE'}","{'tbE', 'tbll', 'bblE', 'tb'}","{'jjE', 'jjlE', 'jjTl', 'jjTE'}","{'bjE', 'bjlE', 'bjTl', 'bjTE'}","{'bjTE', 'tjTl', 'bjlE', 'tjE'}","{'bblE', 'tbE', 'tbTl', 'bbTE'}"
nu,"{'jjE', 'jj', 'jjlE', 'jjll'}","{'bjll', 'bjlE', 'bj', 'bjE'}","{'bjll', 'tjlE', 'bjE', 'bj'}","{'tblE', 'bbll', 'bb', 'bbE'}","{'jjE', 'jjlE', 'jjTl', 'jjTE'}","{'bjE', 'bjlE', 'bjTl', 'bjTE'}","{'tjTE', 'tjlE', 'bjTl', 'bjE'}","{'tblE', 'tbTE', 'bbTl', 'bbE'}"
e,"{'jjlE', 'jjll'}","{'bjll', 'bjlE'}","{'tjll', 'bjlE'}","{'tbll', 'bblE'}","{'jjTl', 'jjlE'}","{'bjlE', 'bjTl'}","{'bjlE', 'tjTl'}","{'bblE', 'tbTl'}"
b_L,"{'bjjE', 'bjjl', 'tjjl', 'tjjE'}","{'tbjl', 'ttjl', 'bbjE', 'bbjl', 'tbjE', 'ttjE'}","{'jE', 'tbjl', 'ttjE', 'bbjE'}","{'ttbE', 'bE', 'tttl', 'bbbE', 'tbbl'}","{'bjjE', 'tjjT', 'bjjT', 'tjjE'}","{'ttjT', 'tbjT', 'bbjE', 'bbjT', 'tbjE', 'ttjE'}","{'jE', 'tbjT', 'ttjE', 'bbjE'}","{'ttbE', 'tbbT', 'bE', 'tttT', 'bbbE'}"
t_L,"{'tjjE', 'bjjl', 'tjjl', 'bjjE'}","{'tbjE', 'tbjl', 'bbjl', 'bbjE'}","{'jl', 'tbjE', 'ttjl', 'bbjl'}","{'bbbl', 'bl', 'tbbE', 'ttbl'}","{'tjjT', 'bjjT', 'tjjE', 'bjjE'}","{'bbjT', 'tbjE', 'tbjT', 'bbjE'}","{'bbjT', 'tbjE', 'jT', 'ttjT'}","{'bbbT', 'tbbE', 'bT', 'ttbT'}"
t,"{'tjjl', 'tjjE'}","{'tbjE', 'tbjl'}","{'tbjE', 'ttjl', 'bbjl'}","{'bbbl', 'tbbE', 'ttbl'}","{'tjjT', 'tjjE'}","{'tbjE', 'tbjT'}","{'bbjT', 'tbjE', 'ttjT'}","{'bbbT', 'tbbE', 'ttbT'}"
b,"{'bjjl', 'bjjE'}","{'jl', 'bbjE', 'jE', 'bbjl'}","{'tbjl', 'ttjE', 'bbjE'}","{'ttbE', 'bE', 'tl', 'bbbE', 'tbbl'}","{'bjjT', 'bjjE'}","{'bbjT', 'jE', 'jT', 'bbjE'}","{'tbjT', 'ttjE', 'bbjE'}","{'tT', 'ttbE', 'tbbT', 'bE', 'bbbE'}"
tau_L,"{'jjE', 'jjTE', 'jjTl', 'jjlE'}","{'bjE', 'bjlE', 'bjTl', 'bjTE'}","{'bjlE', 'tjTl', 'tjE', 'bjTE'}","{'bblE', 'tbE', 'tbTl', 'bbTE'}","{'jjE', 'jjTT', 'jj', 'jjTE'}","{'bjE', 'bj', 'bjTT', 'bjTE'}","{'tj', 'tjTT', 'tjE', 'bjTE'}","{'tbE', 'bbTE', 'tb', 'tbTT'}"
nu_tau,"{'jjE', 'jjlE', 'jjTl', 'jjTE'}","{'bjE', 'bjlE', 'bjTl', 'bjTE'}","{'tjTE', 'tjlE', 'bjTl', 'bjE'}","{'tblE', 'tbTE', 'bbTl', 'bbE'}","{'jjE', 'jjTT', 'jj', 'jjTE'}","{'bjE', 'bj', 'bjTT', 'bjTE'}","{'tjTE', 'bj', 'bjTT', 'bjE'}","{'tbTE', 'bb', 'bbTT', 'bbE'}"
tau,"{'jjTl', 'jjTE'}","{'bjTl', 'bjTE'}","{'tjTl', 'bjTE'}","{'bbTE', 'tbTl'}","{'jjTT', 'jjTE'}","{'bjTT', 'bjTE'}","{'tjTT', 'bjTE'}","{'bbTE', 'tbTT'}"
