Mother,Daughter,Transitions
G,W^0,JJ
G,W^pm,jj tb
G,B,JJ
d,q,jj
d,u,jj
d,W^0,j
d,W^pm,j
d,e,jl
d,H^0,jtt jbb
d,H^pm,jtb
d,l,jl
d,nu,jE
d,t,jt
d,b,jb
d,t_L,jt
d,b_L,jb
d,tau,jT
d,tau_L,jT
d,nu_tau,jE
q,d,jj
q,u,jj
q,e,jl
q,H^0,jtt jbb
q,H^pm,jtb
q,l,jl
q,nu,jE
q,t,jt
q,b,jb
q,t_L,jt
q,b_L,jb
q,tau,jT
q,tau_L,jT
q,nu_tau,jE
u,d,jj
u,q,jj
u,W^0,j
u,W^pm,j
u,e,jl
u,H^0,jtt jbb
u,H^pm,jtb
u,l,jl
u,nu,jE
u,t,jt
u,b,jb
u,t_L,jt
u,b_L,jb
u,tau,jT
u,tau_L,jT
u,nu_tau,jE
t,d,jt
t,q,jt
t,u,jt
t,W^0,t
t,W^pm,t
t,e,tl
t,l,tl
t,nu,tE
t,b,tb
t,t_L,tt bb
t,b_L,bt
t,tau,tT
t,tau_L,tT
t,nu_tau,tE
b,d,jb
b,q,jb
b,u,jb
b,W^0,b
b,W^pm,b
b,e,lb
b,l,lb
b,nu,bE
b,t,bt
b,t_L,tb
b,b_L,bb tt
b,tau,Tb
b,tau_L,Tb
b,nu_tau,bE
t_L,d,jt
t_L,q,jt
t_L,u,jt
t_L,e,tl
t_L,l,tl
t_L,nu,tE
t_L,t,bb tt
t_L,b,tb
t_L,tau,Tt
t_L,tau_L,Tt
t_L,nu_tau,tE
b_L,d,jb
b_L,q,jb
b_L,u,jb
b_L,e,bl
b_L,l,bl
b_L,nu,bE
b_L,t,bt
b_L,b,bb tt
b_L,tau,Tb
b_L,tau_L,Tb
b_L,nu_tau,bE
B,G,JJ
B,W^0,JJ LL
B,W^pm,jj tb lE
W^0,G,JJ
W^0,d,j
W^0,u,j
W^0,e,l
W^0,t,t
W^0,b,b
W^0,tau,T
W^0,B,JJ LL
W^pm,G,JJ
W^pm,d,j
W^pm,u,j
W^pm,e,l
W^pm,t,t
W^pm,b,b
W^pm,tau,T
W^pm,B,jj tb lE
H^0,d,j
H^0,q,j
H^0,u,j
H^0,e,l
H^0,l,l
H^pm,d,j
H^pm,q,j
H^pm,u,j
H^pm,e,l
H^pm,l,l
e,d,jl
e,q,jl
e,u,jl
e,W^0,l
e,W^pm,l
e,H^0,l
e,H^pm,l
e,l,ll
e,nu,lE
e,t,tl
e,b,bl
e,t_L,tl
e,b_L,bl
e,tau,Tl
e,tau_L,Tl
e,nu_tau,lE
l,d,jl
l,q,jl
l,u,jl
l,e,ll
l,H^0,l
l,t,tl
l,b,bl
l,t_L,tl
l,b_L,bl
l,tau,lT
l,tau_L,lT
l,nu_tau,lE
nu,d,jE
nu,q,jE
nu,u,jE
nu,e,lE
nu,t,tE
nu,b,bE
nu,t_L,tE
nu,b_L,bE
nu,tau,TE
nu,tau_L,TE
nu,nu_tau,E
tau,d,jT
tau,q,jT
tau,u,jT
tau,W^0,T
tau,W^pm,T
tau,e,lT
tau,l,lT
tau,nu,TE
tau,t,tT
tau,b,bT
tau,t_L,tT
tau,b_L,bT
tau,tau_L,TT
tau,nu_tau,TE
tau_L,d,jT
tau_L,q,jT
tau_L,u,jT
tau_L,e,lT
tau_L,l,Tl
tau_L,nu,TE
tau_L,t,tT
tau_L,b,bT
tau_L,t_L,tT
tau_L,b_L,bT
tau_L,tau,TT
nu_tau,d,jE
nu_tau,q,jE
nu_tau,u,jE
nu_tau,e,lE
nu_tau,l,lE
nu_tau,nu,E
nu_tau,t,tE
nu_tau,b,bE
nu_tau,t_L,tE
nu_tau,b_L,bE
nu_tau,tau,TE
tau,H^pm,T
tau,H^0,T
tau_L,H^0,T
tau_L,H^pm,T
H^0,tau,T
H^0,tau_L,T
H^pm,tau,T
H^pm,tau_L,T